,Unnamed: 0,car_age,km_driven,price_new,accident_count,door_count,fuel,transmission,y_pred,timestamp,y_true
18858,18858,7.0,13698.0,35473.0,5.0,4.0,gas,manual,5495.0,2017-02-24 00:00:28.800,6620.0
18859,18859,16.0,19339.0,27843.0,1.0,5.0,gas,manual,4507.0,2017-02-24 00:01:02.400,4763.0
18860,18860,19.0,21012.0,27668.0,1.0,4.0,diesel,manual,3407.0,2017-02-24 00:01:36.000,2602.0
18861,18861,8.0,146874.0,20447.0,3.0,4.0,gas,manual,2119.0,2017-02-24 00:02:09.600,2096.0
18862,18862,9.0,143154.0,16636.0,1.0,5.0,diesel,manual,1840.0,2017-02-24 00:02:43.200,2790.0
18863,18863,18.0,31221.0,36277.0,1.0,4.0,electric,manual,5857.0,2017-02-24 00:03:16.800,7305.0
18864,18864,19.0,84599.0,45076.0,1.0,5.0,gas,manual,3786.0,2017-02-24 00:03:50.400,4631.0
18865,18865,13.0,83458.0,36471.0,3.0,3.0,gas,manual,3976.0,2017-02-24 00:04:24.000,5405.0
18866,18866,15.0,96333.0,33437.0,1.0,5.0,diesel,automatic,2205.0,2017-02-24 00:04:57.600,1467.0
18867,18867,8.0,169657.0,32098.0,1.0,5.0,gas,manual,4065.0,2017-02-24 00:05:31.200,5035.0
18868,18868,17.0,10193.0,32944.0,2.0,4.0,diesel,manual,3699.0,2017-02-24 00:06:04.800,2572.0
18869,18869,9.0,65129.0,21615.0,4.0,5.0,diesel,manual,1673.0,2017-02-24 00:06:38.400,1223.0
18870,18870,16.0,31048.0,35936.0,4.0,5.0,diesel,manual,2028.0,2017-02-24 00:07:12.000,3074.0
18871,18871,7.0,150276.0,33162.0,1.0,4.0,gas,manual,5596.0,2017-02-24 00:07:45.600,7345.0
18872,18872,10.0,154338.0,31579.0,4.0,5.0,gas,automatic,1371.0,2017-02-24 00:08:19.200,2081.0
18873,18873,19.0,167217.0,20034.0,1.0,3.0,gas,manual,1270.0,2017-02-24 00:08:52.800,1324.0
18874,18874,9.0,117156.0,25148.0,4.0,4.0,gas,manual,1946.0,2017-02-24 00:09:26.400,2470.0
18875,18875,3.0,91859.0,27233.0,1.0,3.0,diesel,manual,8015.0,2017-02-24 00:10:00.000,10521.0
18876,18876,7.0,77463.0,33556.0,1.0,5.0,gas,automatic,7409.0,2017-02-24 00:10:33.600,6104.0
18877,18877,13.0,170258.0,31269.0,4.0,3.0,diesel,manual,1197.0,2017-02-24 00:11:07.200,1019.0
18878,18878,12.0,149606.0,22275.0,5.0,5.0,electric,manual,1037.0,2017-02-24 00:11:40.800,1810.0
18879,18879,7.0,177029.0,41507.0,2.0,4.0,gas,automatic,4059.0,2017-02-24 00:12:14.400,2817.0
18880,18880,17.0,174771.0,31331.0,3.0,4.0,gas,automatic,1015.0,2017-02-24 00:12:48.000,626.0
18881,18881,10.0,79242.0,34943.0,1.0,2.0,diesel,manual,7033.0,2017-02-24 00:13:21.600,8728.0
18882,18882,11.0,163997.0,39470.0,1.0,5.0,diesel,manual,3195.0,2017-02-24 00:13:55.200,4431.0
18883,18883,17.0,130499.0,44262.0,1.0,2.0,gas,manual,4509.0,2017-02-24 00:14:28.800,3179.0
18884,18884,11.0,133818.0,24291.0,2.0,4.0,diesel,manual,1894.0,2017-02-24 00:15:02.400,2022.0
18885,18885,9.0,145986.0,27211.0,1.0,3.0,gas,manual,4392.0,2017-02-24 00:15:36.000,5761.0
18886,18886,16.0,97103.0,20817.0,1.0,2.0,gas,automatic,2205.0,2017-02-24 00:16:09.600,1610.0
18887,18887,2.0,150822.0,37056.0,2.0,5.0,electric,manual,8227.0,2017-02-24 00:16:43.200,5967.0
18888,18888,16.0,167619.0,36645.0,5.0,4.0,electric,manual,1418.0,2017-02-24 00:17:16.800,1043.0
18889,18889,13.0,137877.0,28854.0,2.0,5.0,diesel,manual,1897.0,2017-02-24 00:17:50.400,1678.0
18890,18890,8.0,48448.0,30677.0,3.0,5.0,diesel,manual,3887.0,2017-02-24 00:18:24.000,4433.0
18891,18891,18.0,118376.0,22705.0,2.0,4.0,diesel,manual,1110.0,2017-02-24 00:18:57.600,1016.0
18892,18892,2.0,35208.0,36767.0,1.0,4.0,electric,automatic,19182.0,2017-02-24 00:19:31.200,20108.0
18893,18893,17.0,158235.0,33432.0,1.0,3.0,gas,manual,2469.0,2017-02-24 00:20:04.800,3614.0
18894,18894,18.0,144883.0,27477.0,1.0,5.0,electric,manual,2267.0,2017-02-24 00:20:38.400,2985.0
18895,18895,8.0,52447.0,38123.0,1.0,2.0,gas,manual,11557.0,2017-02-24 00:21:12.000,10644.0
