Target,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
1,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23
1,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22
1,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24
1,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25
1,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25
1,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25
1,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25
1,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25
1,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26
1,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25
1,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26
1,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26
1,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26
1,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26
0,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26
0,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26
0,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27
0,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27
0,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26
1,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27
0,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27
0,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27
0,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27
0,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27
0,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27
0,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28
0,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28
0,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28
0,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28
0,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28
0,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28
0,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28
0,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27
0,49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909,37.83,-122.27
0,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27
0,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,37.83,-122.27
0,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27
0,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,37.83,-122.28
1,52.0,4.757281553398058,1.0679611650485437,689.0,2.2297734627831716,37.83,-122.26
1,52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26
0,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26
0,51.0,3.7590361445783134,1.248995983935743,517.0,2.076305220883534,37.83,-122.26
0,49.0,3.7724867724867726,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26
1,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26
1,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26
1,52.0,4.335078534031414,1.0994764397905759,718.0,1.8795811518324608,37.83,-122.26
0,50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26
0,43.0,3.9802371541501977,1.233201581027668,558.0,2.205533596837945,37.82,-122.27
1,40.0,3.9,1.21875,423.0,2.64375,37.82,-122.26
0,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27
1,21.0,2.045662100456621,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27
0,43.0,4.58968058968059,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27
0,41.0,4.473611111111111,1.1847222222222222,1959.0,2.720833333333333,37.82,-122.27
0,52.0,4.075,1.14,1162.0,2.905,37.82,-122.27
0,52.0,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28
0,52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,37.82,-122.28
0,52.0,4.77992277992278,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28
0,52.0,6.102459016393443,1.3729508196721312,728.0,2.9836065573770494,37.82,-122.28
0,52.0,4.5625,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28
0,2.0,2.7719298245614037,0.7543859649122807,94.0,1.6491228070175439,37.82,-122.29
0,52.0,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29
0,49.0,5.869565217391305,1.2608695652173914,86.0,3.739130434782609,37.82,-122.29
0,50.0,6.229508196721311,1.5573770491803278,377.0,3.0901639344262297,37.81,-122.29
0,52.0,7.69811320754717,1.490566037735849,521.0,3.2767295597484276,37.81,-122.3
0,48.0,6.225563909774436,1.368421052631579,392.0,2.9473684210526314,37.81,-122.3
0,52.0,5.401069518716578,1.1176470588235294,604.0,3.229946524064171,37.81,-122.3
0,48.0,4.382530120481928,1.0662650602409638,788.0,2.3734939759036147,37.81,-122.3
0,52.0,6.98639455782313,1.6598639455782314,492.0,3.3469387755102042,37.8,-122.29
0,52.0,6.975609756097561,1.329268292682927,274.0,3.341463414634146,37.81,-122.3
0,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,37.81,-122.29
0,26.0,6.047244094488189,1.1968503937007875,392.0,3.0866141732283463,37.81,-122.29
0,46.0,3.375451263537906,1.0722021660649819,582.0,2.101083032490975,37.81,-122.29
0,49.0,5.552631578947368,1.3421052631578947,560.0,3.6842105263157894,37.81,-122.29
0,46.0,1.7142857142857142,0.5714285714285714,18.0,2.5714285714285716,37.81,-122.29
0,20.0,6.2781954887218046,1.2105263157894737,290.0,2.180451127819549,37.81,-122.29
1,17.0,2.8177676537585423,1.0523917995444192,762.0,1.7357630979498861,37.81,-122.28
0,36.0,5.724950884086444,1.1041257367387034,1236.0,2.4282907662082516,37.81,-122.28
0,19.0,5.830917874396135,1.173913043478261,721.0,3.4830917874396135,37.81,-122.28
0,23.0,5.369230769230769,1.1507692307692308,1054.0,3.243076923076923,37.81,-122.29
0,38.0,4.412903225806452,1.135483870967742,344.0,2.2193548387096773,37.8,-122.28
0,17.0,3.1972318339100347,1.0,609.0,2.1072664359861593,37.81,-122.28
0,52.0,3.75,1.0,183.0,3.267857142857143,37.81,-122.27
0,52.0,3.9080459770114944,1.1149425287356323,200.0,2.2988505747126435,37.81,-122.28
0,52.0,2.490322580645161,1.0580645161290323,346.0,2.232258064516129,37.81,-122.28
0,35.0,5.609467455621302,1.0887573964497042,467.0,2.7633136094674557,37.81,-122.28
0,52.0,6.721739130434782,1.2434782608695651,377.0,3.2782608695652176,37.81,-122.28
0,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,37.81,-122.27
0,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454545,37.81,-122.27
0,10.0,2.6923076923076925,1.0769230769230769,125.0,3.2051282051282053,37.8,-122.27
1,52.0,2.929411764705882,0.9176470588235294,396.0,4.658823529411765,37.8,-122.27
0,16.0,2.74585635359116,1.0828729281767955,800.0,2.2099447513812156,37.8,-122.27
0,52.0,2.4431818181818183,0.9886363636363636,904.0,10.272727272727273,37.8,-122.28
0,52.0,2.823529411764706,0.9117647058823529,191.0,5.617647058823529,37.8,-122.28
1,27.0,3.493377483443709,1.1490066225165563,718.0,2.377483443708609,37.79,-122.27
1,39.0,3.6723768736616704,1.3340471092077089,1327.0,2.841541755888651,37.8,-122.27
0,36.0,2.294016358157555,1.066293585880327,3469.0,1.493327593628928,37.8,-122.26
1,31.0,3.8949152542372882,1.1279661016949152,2048.0,1.735593220338983,37.82,-122.26
0,29.0,3.681318681318681,1.1758241758241759,202.0,2.21978021978022,37.81,-122.26
1,22.0,2.9456,1.016,2024.0,1.6192,37.82,-122.26
1,37.0,3.7071428571428573,1.1071428571428572,1838.0,1.8755102040816327,37.82,-122.26
1,29.0,3.7248,1.1312,2304.0,1.8432,37.81,-122.25
1,28.0,3.8784235136940546,1.070808283233133,2563.0,1.7120908483633934,37.81,-122.25
1,39.0,3.745614035087719,1.0614035087719298,389.0,1.706140350877193,37.81,-122.25
1,52.0,3.5154975530179446,1.1435562805872757,895.0,1.4600326264274062,37.81,-122.25
1,34.0,3.281721632196758,1.0698714365567357,2689.0,1.5030743432084963,37.81,-122.26
1,52.0,6.184426229508197,0.9221311475409836,674.0,2.762295081967213,37.82,-122.24
1,52.0,4.442982456140351,1.0570175438596492,709.0,1.5548245614035088,37.81,-122.24
1,52.0,4.165876777251185,1.0900473933649288,686.0,1.6255924170616114,37.81,-122.25
1,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,37.82,-122.24
1,28.0,4.160847880299252,1.0660847880299251,1520.0,1.8952618453865338,37.82,-122.25
1,52.0,5.628458498023716,1.1422924901185771,550.0,2.1739130434782608,37.82,-122.25
1,32.0,3.7270058708414875,1.0743639921722115,1806.0,1.7671232876712328,37.82,-122.25
1,26.0,3.2530813475760065,0.9827444535743632,1749.0,1.4371405094494658,37.82,-122.25
1,52.0,4.578034682080925,1.0770712909441233,939.0,1.8092485549132948,37.83,-122.25
1,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25
1,52.0,4.3951890034364265,0.9862542955326461,534.0,1.8350515463917525,37.83,-122.25
1,28.0,3.0234798314268514,1.053582179409994,2558.0,1.5400361228175798,37.83,-122.25
1,52.0,4.040501446480231,1.0655737704918034,1786.0,1.7222757955641272,37.83,-122.25
1,50.0,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,37.84,-122.23
